NCODE,No,ECLATER (catalogue 4),REPERE (info_libre),REFERENCE (info_libre),DESIGN. Français (langue2),ANGLAIS (désignation),ANCIEN CODE (info_libre),EMPLACEMENT,FAMILLE,,CATALOG1,CATALOG2,CATALOG3,UNITE,REPERE2,ECLATE2,REPERE3,ECLATE3,REPERE4,ECLATE4,REPERE5,ECLATE5,REPERE6,ECLATE6,REPERE7,ECLATE7,REPERE8,ECLATE8,REPERE9,ECLATE9,REPERE10,ECLATE10,REPERE11,ECLATE11,REPERE12,ECLATE12,REPERE13,ECLATE13,REPERE14,ECLATE14,REPERE15,ECLATE15,RMRQ,REF_ALT,,PICT1,PICT2,PICT3,PICT4
7123-BAGU01-001,1,01CYLINDER BLOCK,10040,65.04410-0016,BAGUE ARBRE CAM,BUSH ; CAM SHAFT,0701-BUSH00-013,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,IMG_0004,1346$1$th2$P1750310,0,0
7123-BAGU01-002,2,01CYLINDER BLOCK,10250,06.56190-0718,BAGUE|JOINT 06.56190-0718,RING ; SEAL,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BAGU01-003,3,01CYLINDER BLOCK,10270,06.56190-0703,BAGUE|JOINT A12x16,RING ; SEAL Al2x16,0701-SEAL00-037,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0022,0,0,0
7123-BLOC01-001,4,01CYLINDER BLOCK,10020,65.01101-0212A,BLOC-CYLINDRES,BLOCK CYLINDER,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BLOC01-002,5,01CYLINDER BLOCK,10010,65.01101-6212C,BLOC-CYLINDRES ASS'Y,CYLINDER BLOCK ASS'Y,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BOUC01-001,6,01CYLINDER BLOCK,10050,65.90302-0048,BOUCHON,PLUNG CORE,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BOUC01-002,7,01CYLINDER BLOCK,10060,65.91606-0037,BOUCHON,PLUNG CORE,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BOUC01-003,8,01CYLINDER BLOCK,10200,65.91606-0041,BOUCHON|TROU DE NOYAU,PLUG ; CORE HOLE,0701-PLUG00-006,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0014,IMG_0015,0,0
7123-BOUL01-001,9,01CYLINDER BLOCK,10150,65.90020-0036B,BOULON DE PALIER,BOLT ; BEARING CAP,0701-BOLT00-004,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0001,0,0,0
7123-BOUL01-002,10,01CYLINDER BLOCK,10430,65.90001-0126,BOULON HEXAGONAL,BOLT ; HEXAGONAL,0701-BOLT00-005,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0002,0,0,0
7123-BUSE01-001,11,01CYLINDER BLOCK,-,65.01601-6006,BUSE|PULVERISATEUR D'HUILE,NOZZLE ; OIL SPRAY,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-BUSE01-002,12,01CYLINDER BLOCK,10370,65.01601-6007,BUSE|PULVERISATEUR D'HUILE,NOZZLE ; OIL SPRAY,0,RD22,7PDR,#N/A,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-CHEM01-001,13,01CYLINDER BLOCK,10320,65.01201-0051A,CHEMISE DE CYLINDRE,LINER ; CYLINDER,0701-LINE00-001,RD31,7PDR,5MDP,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0008,IMG_0010,CYLINDER-LINER-D1146-65-01201-0050,0
7123-CHEM01-002,14,01CYLINDER BLOCK,-,65.01201-0311C,CHEMISE DE CYLINDRE,LINER ; CYLINDER,0,RD22,7PDR,5MDP,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-COUV01-001,15,01CYLINDER BLOCK,10070,65.01105-1161B,COUVRE PALIER,CAP BEARING,0,RD22,7PDR,6POUT,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-COUV01-002,16,01CYLINDER BLOCK,-,65.01105-1177B,COUVRE PALIER,CAP BEARING,0,RD22,7PDR,6POUT,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
